fila_excel,pedido_id,barrio,error
3,1923,Recoger en Tienda,barrio no encontrado
4,1924,Recoger en Tienda,barrio no encontrado
26,1944,Recoger en Tienda,barrio no encontrado
28,1946,Recoger en Tienda,barrio no encontrado
29,1947,Ciudad Jardín Modelo,barrio no encontrado
37,1953,Ciudad Jardín Modelo,barrio no encontrado
45,1959,Recoger en Tienda,barrio no encontrado
54,1968,Recoger en Tienda,barrio no encontrado
60,1974,Recoger en Tienda,barrio no encontrado
63,1977,Recoger en Tienda,barrio no encontrado
77,1990,Recoger en Tienda,barrio no encontrado
94,2002,Recoger en Tienda,barrio no encontrado
107,2013,Recoger en Tienda,barrio no encontrado
109,2015,Recoger en Tienda,barrio no encontrado
111,2017,Recoger en Tienda,barrio no encontrado
129,2034,Abajo,barrio no encontrado
132,2037,Abajo,barrio no encontrado
148,2052,puerto dorada,barrio no encontrado
151,2055,Recoger en Tienda,barrio no encontrado
160,2063,Recoger en Tienda,barrio no encontrado
164,2066,Recoger en Tienda,barrio no encontrado
169,2071,Recoger en Tienda,barrio no encontrado
174,2076,Recoger en Tienda,barrio no encontrado
175,2077,Recoger en Tienda,barrio no encontrado
181,2082,Recoger en Tienda,barrio no encontrado
183,2084,Recoger en Tienda,barrio no encontrado
184,2085,Recoger en Tienda,barrio no encontrado
185,2086,Recoger en Tienda,barrio no encontrado
188,2089,Recoger en Tienda,barrio no encontrado
189,2090,Recoger en Tienda,barrio no encontrado
195,2094,Recoger en Tienda,barrio no encontrado
199,2097,Recoger en Tienda,barrio no encontrado
201,2099,Recoger en Tienda,barrio no encontrado
202,2100,Recoger en Tienda,barrio no encontrado
207,2105,Recoger en Tienda,barrio no encontrado
211,2108,Recoger en Tienda,barrio no encontrado
212,2109,Recoger en Tienda,barrio no encontrado
213,2110,Recoger en Tienda,barrio no encontrado
214,2111,Recoger en Tienda,barrio no encontrado
217,2114,Recoger en Tienda,barrio no encontrado
218,2115,Recoger en Tienda,barrio no encontrado
220,2117,Recoger en Tienda,barrio no encontrado
222,2119,Recoger en Tienda,barrio no encontrado
224,2121,Recoger en Tienda,barrio no encontrado
229,2126,Ciudad Jardín Modelo,barrio no encontrado
232,2128,Ciudad Jardín Modelo,barrio no encontrado
233,2129,Recoger en Tienda,barrio no encontrado
234,2130,Recoger en Tienda,barrio no encontrado
238,2134,Recoger en Tienda,barrio no encontrado
239,2135,Recoger en Tienda,barrio no encontrado
242,2137,Recoger en Tienda,barrio no encontrado
244,2139,Recoger en Tienda,barrio no encontrado
247,2142,Recoger en Tienda,barrio no encontrado
252,2146,Recoger en Tienda,barrio no encontrado
262,2151,Recoger en Tienda,barrio no encontrado
266,2154,Recoger en Tienda,barrio no encontrado
267,2155,Recoger en Tienda,barrio no encontrado
268,2156,Recoger en Tienda,barrio no encontrado
270,2158,Recoger en Tienda,barrio no encontrado
271,2159,Recoger en Tienda,barrio no encontrado
272,2160,Recoger en Tienda,barrio no encontrado
274,2162,Recoger en Tienda,barrio no encontrado
278,2166,Recoger en Tienda,barrio no encontrado
281,2168,Recoger en Tienda,barrio no encontrado
282,2169,Recoger en Tienda,barrio no encontrado
284,2171,Recoger en Tienda,barrio no encontrado
295,2181,Recoger en Tienda,barrio no encontrado
297,2183,Recoger en Tienda,barrio no encontrado
300,2185,Recoger en Tienda,barrio no encontrado
301,2186,Recoger en Tienda,barrio no encontrado
308,2192,Recoger en Tienda,barrio no encontrado
314,2197,Recoger en Tienda,barrio no encontrado
315,2198,Recoger en Tienda,barrio no encontrado
316,2199,Recoger en Tienda,barrio no encontrado
317,2200,Recoger en Tienda,barrio no encontrado
319,2202,Recoger en Tienda,barrio no encontrado
321,2204,Recoger en Tienda,barrio no encontrado
324,2207,Recoger en Tienda,barrio no encontrado
326,2208,Recoger en Tienda,barrio no encontrado
328,2210,Recoger en Tienda,barrio no encontrado
329,2211,Recoger en Tienda,barrio no encontrado
331,2213,Recoger en Tienda,barrio no encontrado
334,2215,Recoger en Tienda,barrio no encontrado
337,2218,Recoger en Tienda,barrio no encontrado
338,2219,Recoger en Tienda,barrio no encontrado
340,2221,Recoger en Tienda,barrio no encontrado
342,2223,Recoger en Tienda,barrio no encontrado
345,2226,Recoger en Tienda,barrio no encontrado
351,2231,Recoger en Tienda,barrio no encontrado
353,2233,Recoger en Tienda,barrio no encontrado
357,2236,Recoger en Tienda,barrio no encontrado
361,2239,Recoger en Tienda,barrio no encontrado
363,2241,Recoger en Tienda,barrio no encontrado
364,2242,Recoger en Tienda,barrio no encontrado
365,2243,Recoger en Tienda,barrio no encontrado
372,2249,Recoger en Tienda,barrio no encontrado
374,2251,Recoger en Tienda,barrio no encontrado
375,2252,Recoger en Tienda,barrio no encontrado
378,2255,Recoger en Tienda,barrio no encontrado
382,2259,Ciudad Jardín Modelo,barrio no encontrado
393,2270,Recoger en Tienda,barrio no encontrado
399,2274,Recoger en Tienda,barrio no encontrado
400,2275,Recoger en Tienda,barrio no encontrado
402,2277,Recoger en Tienda,barrio no encontrado
422,2290,Recoger en Tienda,barrio no encontrado
431,2296,Recoger en Tienda,barrio no encontrado
438,2301,Recoger en Tienda,barrio no encontrado
440,2303,Recoger en Tienda,barrio no encontrado
444,2305,Recoger en Tienda,barrio no encontrado
445,2306,Recoger en Tienda,barrio no encontrado
450,2311,Recoger en Tienda,barrio no encontrado
451,2312,Recoger en Tienda,barrio no encontrado
457,2317,Recoger en Tienda,barrio no encontrado
458,2318,Recoger en Tienda,barrio no encontrado
466,2322,Recoger en Tienda,barrio no encontrado
470,2326,Abajo,barrio no encontrado
473,2329,Recoger en Tienda,barrio no encontrado
477,2333,Recoger en Tienda,barrio no encontrado
479,2335,Recoger en Tienda,barrio no encontrado
482,2337,Recoger en Tienda,barrio no encontrado
483,2338,Recoger en Tienda,barrio no encontrado
484,2339,Abajo,barrio no encontrado
487,2342,Recoger en Tienda,barrio no encontrado
488,2343,Recoger en Tienda,barrio no encontrado
489,2344,Recoger en Tienda,barrio no encontrado
490,2345,Recoger en Tienda,barrio no encontrado
492,2347,Recoger en Tienda,barrio no encontrado
498,2353,Recoger en Tienda,barrio no encontrado
501,2356,Recoger en Tienda,barrio no encontrado
502,2357,Recoger en Tienda,barrio no encontrado
506,2360,Recoger en Tienda,barrio no encontrado
508,2362,Recoger en Tienda,barrio no encontrado
510,2364,Ciudad Jardín Modelo,barrio no encontrado
515,2369,Recoger en Tienda,barrio no encontrado
517,2370,Recoger en Tienda,barrio no encontrado
522,2374,Recoger en Tienda,barrio no encontrado
523,2375,Recoger en Tienda,barrio no encontrado
527,2379,Recoger en Tienda,barrio no encontrado
530,2382,Recoger en Tienda,barrio no encontrado
533,2385,Recoger en Tienda,barrio no encontrado
534,2386,Recoger en Tienda,barrio no encontrado
540,2391,Recoger en Tienda,barrio no encontrado
552,2402,Recoger en Tienda,barrio no encontrado
