fila_excel,pedido_id,barrio,error
148,117,puerto dorada,barrio no encontrado
229,173,Ciudad Jardín Modelo,barrio no encontrado
232,175,Ciudad Jardín Modelo,barrio no encontrado
382,261,Ciudad Jardín Modelo,barrio no encontrado
470,309,Abajo,barrio no encontrado
484,319,Abajo,barrio no encontrado
510,336,Ciudad Jardín Modelo,barrio no encontrado
594,393,Ciudad Jardín Modelo,barrio no encontrado
641,420,Ciudad Jardín Modelo,barrio no encontrado
716,462,Ciudad Jardín Modelo,barrio no encontrado
763,485,Ciudad Jardín Modelo,barrio no encontrado
956,614,Abajo,barrio no encontrado
1008,633,Ciudad Jardín Modelo,barrio no encontrado
1019,642,Ciudad Jardín Modelo,barrio no encontrado
1030,651,Ciudad Jardín Modelo,barrio no encontrado
1110,696,pumarejo - soledad,barrio no encontrado
1191,737,Ciudad Jardín Modelo,barrio no encontrado
1321,817,Ciudad Jardín Modelo,barrio no encontrado
1332,823,Ciudad Jardín Modelo,barrio no encontrado
1395,862,Ciudad Jardín Modelo,barrio no encontrado
1512,936,Ciudad Jardín Modelo,barrio no encontrado
1537,951,Ciudad Jardín Modelo,barrio no encontrado
1562,967,puerto dorada,barrio no encontrado
1600,991,Ciudad Jardín Modelo,barrio no encontrado
1923,1178,Ciudad Jardín Modelo,barrio no encontrado
1929,1182,Ciudad Jardín Modelo,barrio no encontrado
2913,1663,Recoger en Tienda,barrio no encontrado
2915,1664,Recoger en Tienda,barrio no encontrado
2916,1665,Recoger en Tienda,barrio no encontrado
2922,1667,Recoger en Tienda,barrio no encontrado
2927,1672,Recoger en Tienda,barrio no encontrado
2928,1673,Recoger en Tienda,barrio no encontrado
2938,1679,Recoger en Tienda,barrio no encontrado
2944,1683,Recoger en Tienda,barrio no encontrado
2954,1689,Recoger en Tienda,barrio no encontrado
2963,1696,Recoger en Tienda,barrio no encontrado
2964,1697,Recoger en Tienda,barrio no encontrado
2966,1698,Recoger en Tienda,barrio no encontrado
2974,1705,Recoger en Tienda,barrio no encontrado
2979,1709,Recoger en Tienda,barrio no encontrado
2982,1712,Recoger en Tienda,barrio no encontrado
2993,1721,Recoger en Tienda,barrio no encontrado
2998,1725,Recoger en Tienda,barrio no encontrado
3008,1733,Recoger en Tienda,barrio no encontrado
3022,1745,Recoger en Tienda,barrio no encontrado
3024,1746,Recoger en Tienda,barrio no encontrado
3036,1755,Recoger en Tienda,barrio no encontrado
3037,1756,Recoger en Tienda,barrio no encontrado
3038,1757,Recoger en Tienda,barrio no encontrado
3041,1760,Recoger en Tienda,barrio no encontrado
3042,1761,Recoger en Tienda,barrio no encontrado
3061,1777,Recoger en Tienda,barrio no encontrado
3064,1780,Recoger en Tienda,barrio no encontrado
3071,1785,Recoger en Tienda,barrio no encontrado
3074,1787,Recoger en Tienda,barrio no encontrado
3075,1788,Recoger en Tienda,barrio no encontrado
3080,1791,Recoger en Tienda,barrio no encontrado
3082,1792,Recoger en Tienda,barrio no encontrado
3091,1798,Recoger en Tienda,barrio no encontrado
3098,1803,Recoger en Tienda,barrio no encontrado
3108,1809,Recoger en Tienda,barrio no encontrado
3110,1810,Recoger en Tienda,barrio no encontrado
3112,1811,Recoger en Tienda,barrio no encontrado
3114,1812,Recoger en Tienda,barrio no encontrado
3120,1815,Recoger en Tienda,barrio no encontrado
3123,1816,Recoger en Tienda,barrio no encontrado
3132,1824,Recoger en Tienda,barrio no encontrado
3135,1827,Recoger en Tienda,barrio no encontrado
3137,1829,Recoger en Tienda,barrio no encontrado
3145,1835,Recoger en Tienda,barrio no encontrado
3146,1836,Recoger en Tienda,barrio no encontrado
3151,1840,Recoger en Tienda,barrio no encontrado
3158,1846,Recoger en Tienda,barrio no encontrado
3163,1851,Recoger en Tienda,barrio no encontrado
3166,1854,Recoger en Tienda,barrio no encontrado
3172,1859,Recoger en Tienda,barrio no encontrado
3176,1862,Recoger en Tienda,barrio no encontrado
3178,1864,Recoger en Tienda,barrio no encontrado
3179,1865,Recoger en Tienda,barrio no encontrado
3191,1873,Recoger en Tienda,barrio no encontrado
3198,1880,Recoger en Tienda,barrio no encontrado
3203,1883,Recoger en Tienda,barrio no encontrado
3206,1911,Recoger en Tienda,barrio no encontrado
3215,1892,Recoger en Tienda,barrio no encontrado
3220,1896,Recoger en Tienda,barrio no encontrado
3225,1900,Recoger en Tienda,barrio no encontrado
3245,1917,Recoger en Tienda,barrio no encontrado
3248,1919,Recoger en Tienda,barrio no encontrado
