fila_excel,pedido,producto,cantidad,error
2,9999.0,Mini Heart Rosas,1,producto no encontrado
5,89420.0,Corazón Mini Surtido,1,producto no encontrado
7,89424.0,Bouquet 6 Rosas Rojas,1,producto no encontrado
9,89439.0,Canasto Mediano Sweet,1,producto no encontrado
10,89440.0,Canasto Lavanda,1,producto no encontrado
14,89491.0,Canasto Mediano Sweet,1,producto no encontrado
17,89496.0,Corazón Mediano Surtido,1,producto no encontrado
18,89519.0,Mini Box Claveles,1,producto no encontrado
20,89521.0,Flora Box Redonda 24 Rosas de Jardín,1,producto no encontrado
21,89524.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
23,89577.0,Bouquet 6 Rosas Rojas,1,producto no encontrado
28,89585.0,Bouquet 6 Rosas Rojas,1,producto no encontrado
29,89586.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
31,89591.0,Canasto Mediano Sweet,1,producto no encontrado
33,89593.0,Flora Box Romantic Flores,1,producto no encontrado
34,89595.0,Canasto Mediano Sweet,1,producto no encontrado
36,89599.0,Flora Box Romantic Flores,1,producto no encontrado
37,89600.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
40,89603.0,flora box 50 rosas rojas,1,producto no encontrado
41,89612.0,Mini Box Orquidea,1,producto no encontrado
44,89615.0,Flora Box Mediana Pastel,1,producto no encontrado
48,89631.0,Bouquet 6 Rosas Rojas,1,producto no encontrado
50,89633.0,Bouquet 6 Rosas Rojas,1,producto no encontrado
54,89640.0,Bouquet 24 Rosas Rojas,1,producto no encontrado
55,89641.0,Mini Box Orquidea,1,producto no encontrado
57,89645.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
58,89647.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
60,89649.0,Mini Box Orquidea,1,producto no encontrado
61,89650.0,Flora Mini Plus Box Redonda,1,producto no encontrado
62,89651.0,Canasto Lavanda,1,producto no encontrado
64,89653.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
65,89654.0,Flora Box Romantic Flores,1,producto no encontrado
67,89656.0,Bouquet 6 Rosas Rojas,1,producto no encontrado
69,89658.0,Flora Mini Plus Box Redonda,1,producto no encontrado
70,89659.0,Mini Box Orquidea,1,producto no encontrado
71,89681.0,Bouquet 6 Rosas Rojas,1,producto no encontrado
73,89684.0,Bouquet 6 Rosas Rojas,1,producto no encontrado
77,89688.0,Flora Box Redonda 24 Rosas de Jardín,1,producto no encontrado
79,89690.0,flores surtidas,1,producto no encontrado
83,89701.0,Flora Box Mediana Pastel,1,producto no encontrado
85,89703.0,Cerámica Sweet Pea,1,producto no encontrado
87,89721.0,Bouquet 6 Rosas Rojas,1,producto no encontrado
95,89730.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
98,89734.0,Canasto Lavanda,1,producto no encontrado
101,89737.0,Canasto Mediano Sweet,1,producto no encontrado
105,89741.0,Bouquet 6 Rosas Rojas,1,producto no encontrado
107,89743.0,Bouquet Orquidea,1,producto no encontrado
109,89745.0,Bouquet 6 Rosas Rojas,1,producto no encontrado
114,89750.0,Flora Mini Plus Box Redonda,1,producto no encontrado
115,89751.0,Flora Box Mediana Pastel,1,producto no encontrado
123,89827.0,Bouquet 6 Rosas Rojas,1,producto no encontrado
125,89829.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
128,89832.0,Mini Box Orquidea,1,producto no encontrado
129,89833.0,Corazón Mediano Surtido,1,producto no encontrado
131,89835.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
132,89836.0,Mini Box Orquidea,1,producto no encontrado
135,89846.0,Canasto Mediano Sweet,1,producto no encontrado
136,89847.0,Flora Box Romantic Flores,1,producto no encontrado
139,89854.0,Mini Box Orquidea,1,producto no encontrado
140,89856.0,Mini Box Claveles,1,producto no encontrado
141,89857.0,Corazón Mini Surtido,1,producto no encontrado
146,89862.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
149,89866.0,Bouquet 24 Rosas Rojas,1,producto no encontrado
150,89868.0,Flora Mini Plus Box Redonda,1,producto no encontrado
152,89882.0,Flora Box Romantic Flores,1,producto no encontrado
157,89889.0,Mini Box Orquidea,1,producto no encontrado
158,89890.0,Canasto Mediano Sweet,1,producto no encontrado
162,89894.0,Flora Box Mediana Pastel,1,producto no encontrado
169,89901.0,Mini Box Orquidea,1,producto no encontrado
170,89902.0,Mini Box Orquidea,1,producto no encontrado
178,89910.0,Bouquet Aire,1,producto no encontrado
179,89911.0,Bouquet 12 rosas rosadas,1,producto no encontrado
180,89912.0,Bouquet Surtido,1,producto no encontrado
182,89914.0,Canasto Lavanda,1,producto no encontrado
183,89915.0,Bouquet 6 Rosas Rojas,2,producto no encontrado
190,89922.0,Flora Box Redonda 24 Rosas de Jardín,1,producto no encontrado
193,89925.0,mini hortersias y mini rosas,1,producto no encontrado
197,89929.0,Mini Box Orquidea,1,producto no encontrado
199,89931.0,Bouquet 6 Rosas Rojas,1,producto no encontrado
204,89936.0,Flora Box Redonda 24 Rosas de Jardín,1,producto no encontrado
208,89940.0,Bouquet 6 Rosas Rojas,1,producto no encontrado
213,89945.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
218,89950.0,Bouquet 6 Rosas Rojas,1,producto no encontrado
221,89953.0,Canasto Lavanda,1,producto no encontrado
222,89954.0,Bouquet 6 Rosas Rojas,1,producto no encontrado
237,89970.0,Mini Box Orquidea,1,producto no encontrado
238,89971.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
239,89972.0,Mini Box Orquidea,1,producto no encontrado
240,89973.0,Mini Box Orquidea,1,producto no encontrado
241,89974.0,Flora Box Romantic Flores,1,producto no encontrado
243,89976.0,Canasto Mediano Sweet,1,producto no encontrado
244,89977.0,Mini Box Orquidea,1,producto no encontrado
245,89978.0,Bouquet Surtido,1,producto no encontrado
246,89979.0,Bouquet 6 Rosas Rojas,1,producto no encontrado
252,89985.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
253,89986.0,Flora Box Romantic Flores,1,producto no encontrado
260,89993.0,Flora Box Romantic Flores,1,producto no encontrado
261,89994.0,Flora Mini Plus Box Redonda,1,producto no encontrado
266,89999.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
268,90001.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
270,90003.0,Canasto Mediano Sweet,1,producto no encontrado
276,90009.0,Flora Box Redonda 24 Rosas de Jardín,1,producto no encontrado
279,90012.0,Flora Box Romantic Flores,1,producto no encontrado
280,90013.0,Canasto Aire,1,producto no encontrado
282,90015.0,Mini Box Orquidea,2,producto no encontrado
285,90018.0,Bouquet 6 Rosas Rojas,1,producto no encontrado
288,90021.0,Bouquet 6 Rosas Rojas,1,producto no encontrado
292,90025.0,Mini Box Orquidea,1,producto no encontrado
295,90028.0,Mini Box Orquidea,1,producto no encontrado
296,90029.0,Bouquet 6 Rosas Rojas,1,producto no encontrado
297,90030.0,Bouquet 6 Rosas Rojas,1,producto no encontrado
298,90031.0,Mini Box Orquidea,1,producto no encontrado
300,90033.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
301,90034.0,Bouquet Aire,1,producto no encontrado
302,90035.0,Mini Box Claveles,1,producto no encontrado
307,90040.0,Canasto Mediano Sweet,1,producto no encontrado
308,90041.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
310,90043.0,Mini Box Orquidea,1,producto no encontrado
312,90045.0,Virgen Guadalupe o Milagrosa Pequeña  fjajaala,1,producto no encontrado
316,90049.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
324,90057.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
325,90058.0,Flora Box Mediana Pastel,1,producto no encontrado
331,90064.0,Mini Box Orquidea,1,producto no encontrado
338,90071.0,Mini Box Orquidea,1,producto no encontrado
340,90073.0,Bouquet 6 Rosas Rojas,1,producto no encontrado
342,90075.0,Mini Box Orquidea,1,producto no encontrado
347,90080.0,Flora Box Romantic Flores,1,producto no encontrado
353,90086.0,Bouquet 6 Rosas Rojas,1,producto no encontrado
355,90088.0,Bouquet 6 Rosas Rojas,1,producto no encontrado
356,90089.0,Bouquet x 59 rosas rojas,1,producto no encontrado
358,90091.0,Mini Box Orquidea,1,producto no encontrado
359,90092.0,canasto navideño con velas rojas,1,producto no encontrado
360,90093.0,Mini Box Orquidea,1,producto no encontrado
361,90094.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
365,90098.0,Mini Box Orquidea,1,producto no encontrado
366,90099.0,Corazón Mini Surtido,1,producto no encontrado
367,90100.0,Mini Box Orquidea,1,producto no encontrado
369,90102.0,Canasto Lavanda,1,producto no encontrado
370,90103.0,Flora Box Redonda 24 Rosas de Jardín,1,producto no encontrado
372,90105.0,Bouquet 6 Rosas Rojas,1,producto no encontrado
373,90106.0,Canasto Lavanda,1,producto no encontrado
390,90123.0,Canasto Lavanda,1,producto no encontrado
391,90124.0,Mini Box Orquidea,1,producto no encontrado
392,90125.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
396,90129.0,Canasto Lavanda,1,producto no encontrado
401,90134.0,Mini Box Orquidea,1,producto no encontrado
402,90135.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
403,90136.0,Bouquet 6 Rosas Rojas,1,producto no encontrado
405,90138.0,Canasto Mediano Sweet,1,producto no encontrado
406,90139.0,Flora Box Mediana redonda 24 Rosas rosadas,1,producto no encontrado
407,90140.0,Cerámica Sweet Pea,1,producto no encontrado
410,90143.0,Bouquet Gerbera en tonos pasteles,1,producto no encontrado
413,90146.0,Bouquet 36 Rosas Rojas 6  ferreros más topper feliz día,1,producto no encontrado
414,90147.0,Canasto Lavanda,1,producto no encontrado
415,90148.0,bouquet en hortencias azules y gypso,1,producto no encontrado
421,90154.0,Canasto Aire,1,producto no encontrado
426,90159.0,Bouquet 12 Rosas quicksand,1,producto no encontrado
428,90161.0,flora mini plus redonda ponerle algunas rosas,1,producto no encontrado
432,90165.0,Marquito Girasol bolsa de pétalos,1,producto no encontrado
433,90166.0,Bouquet Orquidea,1,producto no encontrado
437,90170.0,Bouquet 12 Rosas rosadas y lilas papel rosado,1,producto no encontrado
439,90172.0,Bouquet 6 Rosas Rojas,1,producto no encontrado
441,90174.0,Arreglo bouquet 6 tulipanes,1,producto no encontrado
453,90186.0,Bouquet 24 Rosas Rojas,1,producto no encontrado
455,90188.0,Canasto Aire,1,producto no encontrado
457,90190.0,Mini Box Orquidea,1,producto no encontrado
459,90192.0,Canastos surtidos coloridos,1,producto no encontrado
460,90193.0,Flora Box Mediana topper hbd,1,producto no encontrado
464,90197.0,Mini Box Orquidea,1,producto no encontrado
466,90199.0,Mini Box Orquidea,1,producto no encontrado
469,90202.0,Bouquet 12 Rosas Rojas,1,producto no encontrado
475,90208.0,Bouquet 6 Rosas Rojas,1,producto no encontrado
478,90211.0,Flora Mini Plus Box Redonda,1,producto no encontrado
480,90213.0,Guacal Hortensias,1,producto no encontrado
