fila_excel,pedido,producto,cantidad,error
617,90351.0,Flora Box Mediana Pastel,1,producto no encontrado
626,90360.0,PLAN BÁSICO (BOUQUET X 9 ROSAS ROSADAS),1,producto no encontrado
627,90361.0,PLAN AMIGAS( 2 BOUQUETS SURTIDOS),1,producto no encontrado
643,90377.0,Flora Box Mediana Pastel,1,producto no encontrado
645,90379.0,"12 rosas,uboca de dragón,1/2 de pino,una vara de mirton,1 1/2 de astromelias,",1,producto no encontrado
646,90380.0,"Flora Box Mediana 24 Rosas,fucsia,rosadas,naranjas,amarillo",1,producto no encontrado
649,90383.0,Flora Mini Plus Box Cuadrada como mini box número 7,1,producto no encontrado
650,90384.0,CAJA GRANDE TOPIARIO EN ROSAS Y CLAVELES ROSADOS Y RAFIN TOPPER HBD,1,producto no encontrado
652,90386.0,Flora Box Mediana  x 20 rosas rosadas,1,producto no encontrado
669,90403.0,Mini Box Orquidea  ID de la orden 2410272010,1,producto no encontrado
677,90411.0,Flora Box Mediana Pastel,1,producto no encontrado
686,90420.0,Corazón Mini Rosas y ponerle 4 ferreros,1,producto no encontrado
691,90425.0,Flora Box Mediana Pastel,1,producto no encontrado
716,90450.0,Flora Box Mediana Pastel,1,producto no encontrado
730,90464.0,jp 5 kisse,1,producto no encontrado
747,90481.0,Bouquet 24 Rosas Rojas TOPPER FELIZ ANIVERSARIO,1,producto no encontrado
790,90527.0,Arreglo Personalizado y caja larga x 12 rosas rosadas,1,producto no encontrado
800,90537.0,flores surtidas,1,producto no encontrado
838,90575.0,Flora Box Mediana Pastel,1,producto no encontrado
850,90587.0,Flora Box Romantic Flores 12 Rosas rojas,1,producto no encontrado
852,90589.0,Flora Box Mediana Pastel topper hbd,1,producto no encontrado
883,90620.0,Flora Box Mediana Pastel,1,producto no encontrado
894,90631.0,Flora Box Mediana Pastel,1,producto no encontrado
